Format Version,1.23,Take Name,Take 2023-03-21 11.52.33 AM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2023-03-21 11.52.33.914 A.M.,Capture Start Frame,8546461,Total Frames in Take,1907,Total Exported Frames,1907,Rotation Type,XYZ,Length Units,Millimeters,Coordinate Space,Local

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,Robot,Robot,Robot,Robot,Robot,Robot
,ID,"9294D4D9A86211ED1061CE48FBDC5DB3","9294D4D9A86211ED1061CE48FBDC5DB3","9294D4D9A86211ED1061CE48FBDC5DB3","9294D4D9A86211ED1061CE48FBDC5DB3","9294D4D9A86211ED1061CE48FBDC5DB3","9294D4D9A86211ED1061CE48FBDC5DB3"
,,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z
247,2.058333,-179.961838,2.328262,-178.945541,-2194.266113,125.874771,14.001912
248,2.066667,-179.953842,2.311103,-178.938690,-2194.280029,125.888672,14.004903
249,2.075000,-179.988602,2.345253,-178.970184,-2194.260986,125.856873,13.979310
250,2.083333,-179.955780,2.314131,-178.941681,-2194.272461,125.916435,14.001327
251,2.091667,-179.952454,2.310577,-178.937302,-2194.276123,125.902939,13.993840
252,2.100000,-179.953201,2.313848,-178.935364,-2194.279297,125.902649,13.991119
253,2.108333,-179.953674,2.318942,-178.937866,-2194.280518,125.893471,14.009179
254,2.116667,-179.944214,2.315529,-178.936661,-2194.286865,125.892952,14.012935
255,2.125000,-179.961563,2.325396,-178.949921,-2194.260254,125.878365,13.999920
256,2.133333,-179.963104,2.330244,-178.946442,-2194.255371,125.884804,13.991257
257,2.141667,-179.963593,2.327335,-178.941879,-2194.256836,125.893906,13.986423
258,2.150000,-179.967346,2.327391,-178.946594,-2194.252441,125.893654,13.995159
259,2.158333,-179.957764,2.313976,-178.936432,-2194.278809,125.887108,13.996657
260,2.166667,-179.953918,2.316579,-178.938904,-2194.286377,125.876991,13.998013
261,2.175000,-179.951614,2.312964,-178.934433,-2194.280273,125.887054,13.991787
262,2.183333,-179.972076,2.323278,-178.950226,-2194.256592,125.894295,13.999763
263,2.191667,-179.964310,2.327507,-178.945374,-2194.252441,125.887917,13.989170
